"body_hash","body","predicted_label","reasoning","confidence","few_shot_examples_used","model","error"
"243c1196e5c98042","You should be worried about other things and not climate change.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"aae784b9f6f729e1","It's ok to be that person. Everyone needs to know that it's not that simple to reverse climate change and it will never be.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"95c5febb0ad56425","yeah. if humans accelerate climate change, what could be more than having less humans?","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"b53317c559fda4ed","dont worry, the water wont rise that much IF humans stop climate change in the future","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"1656504f028a2776","She's also great at messaging, particularly with young people. The outreach side will be an immensely important part of any climate change initiativem","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"66ba096aedad351d","What in your opinion is the solution to climate change?","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"65a9400af9fc818b","Everyone has something to lose to lose from climate change, so there's that.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"72a0e6f5720e6a52","It's also true for penile development. If someone who was born a male and takes hormone blockers to later change their mind and want to be male may never have the fully developed penis they were meant to have. Which is a whole nother bag of worms when it comes to self-esteem and having a micro penis in today's cultural climate.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"6b04e8cc8b5d2b57","Lots of big businesses would suffer from the actions needed to combat climate change. Oil and oil-based industries for one.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"f45ad26c82496984","That's a generalization. There's plenty of people who believe and acknowledge climate change, but still are against immigration.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"f56917189b1cbf8c","But I am glad people are finally acknowledging climate change as a real problem.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"420b33baaaa8a130","I don't actually disagree in all manners. Climate change is a thing. I think our approach should be much different than hers. I think she's brainwashed because her parents egg her on, and she makes LOTS of money off climate change. Her parents are taking advantage of her. She isn't even going to school. Guess truancy is fine if it's for climate change.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"4b02225de15a0d9c","Can we add this total waste of a piano being burnt to climate change?","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"2d026f3e3d920980","Ideally everyone should have access to Clean, affordable, accessible Energy Water Food Shelter Better standards of living for all allows for more innovation and creativity. Climate change / renewable energy is one of the things that puts survival into the equation, a universal uniting factor that helps everyone is rare.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
