body_hash,body,label,source,confidence,keyword_score,semantic_score,selection_margin,selection_prob,matched_keywords,selection_reason
9b798249ea97c905,It's cold and raining where I am. Therefore climate change is a hoax.,Climate denial,high_confidence_weak,0.99,2.5,0.1118,0.8711225803136233,0.20160417431865615,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.871, kw+sem agree on Climate denial"
c3a90dbeaeb5daee,"It's still cold in my freezer, climate change is a hoax!",Climate denial,high_confidence_weak,0.99,2.5,0.1087,0.8706485033963226,0.20025302532458114,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.871, kw+sem agree on Climate denial"
d51aaccfef10ace6,Yes. This proves climate change is a hoax. What a fucking genius you are.,Climate denial,high_confidence_weak,0.99,2.5,0.1054,0.8701295767587245,0.19881403025152766,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
439e2b1a90701d9a,"Because climate change is a hoax, amirite? ",Climate denial,high_confidence_weak,0.99,2.5,0.127,0.8700399982326825,0.20826225249990699,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
30fd50a952c5848b,> [us]([URL] versus them See also: > Climate change is a hoax. ...and... > Vaccines cause autism.,Climate denial,high_confidence_weak,0.99,2.5,0.1088,0.8699927672315572,0.20030806327339917,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
3ef92727774ac53a,Jesus. And apparently climate change is a hoax. It's a pretty fucking realistic hoax. :face_without_mouth:,Climate denial,high_confidence_weak,0.99,2.5,0.1055,0.8698280446009307,0.19886787221098462,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
5cbd0dad09a8751b,Plant made climate change is a hoax perpetrated by dinosaurs.,Climate denial,high_confidence_weak,0.99,2.5,0.1121,0.8697939142137012,0.20172674624482417,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
e9a03c940992f79e,"[After ""restructuring"" NASA say climate change is a hoax]([URL]",Climate denial,high_confidence_weak,0.99,2.5,0.11,0.86975675089296,0.20081959949979866,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
05149a3000ae43d1,But its cold in Ohio so climate change is a hoax!,Climate denial,high_confidence_weak,0.99,2.5,0.1111,0.8697563453328153,0.20128684383167994,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
297d79d64551bd1c,Climate change is a hoax wake up,Climate denial,high_confidence_weak,0.99,2.5,0.1176,0.8696552954400251,0.20410429398873867,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
edf992ee293396f2,cLiMaTE ChAnGe Is A HoAx!,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
00e9024a902b7728,Climate change is a hoax /s,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
b5056004ec0238d1,"""Climate change is a hoax!""",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
2eefb570129da183,climate change is a hoax mate :D :D :D,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
e02566f06f0aa77d,cLiMATE cHaNgE IS a HoAx,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
0d21c9425424d327,cLiMaTe cHaNge iS a HoAx,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
8b820e45b0a0392d,"""Climate change is a hoax.""",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
39d26dd00f97c943,Climate change is a hoax smh,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
f5077a5ad5ca9595,climate change is a hoax.,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
b4693ab55908871e,Climate change is a hoax.,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
f356fa1750dd2984,cLImATe ChANgE iS a HoAX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
b5043145f0d45ca3,CliMATe ChAngE iS a HoAx…,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
ac5cf9f3450fedb1,cLiMaTe cHaNgE is A hOaX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
3267f37083f7b64f,Climate change is a hoax! /s,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
33f76eb72b30f212,"""cLimATe cHaNgE iS a hOaX!""",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
6d77ad9ed9fd1704,cLiMaTe ChAnGe Is A hOaX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
39862bd9d5d18be5,climate change is a hoax,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
7639212628dd8a47,Anthropomorphic climate change is a hoax,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
d7931815239accde,Climate change is a hoax!,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
4439c43bebeb21d0,cLiMatE cHaNgE Is a hOaX ,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
0fa2a61c7cf03f3b,Climate change Is a hoax!,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
fe13299d76376e99,Climate Change is a hoax confirmed /s,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
781f96050ee8eb12,"Pfft, climate change is a hoax!",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
4cb5663b99a72c1c,cLiMaTe ChAnGe iS a hOaX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
48dff43d57580668,CliMatE cHaNgE iS a hOaX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
05c35d248e36c394,"""climate change is a hoax"" ",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
5f846eec7763d0dd,"""Climate change is a hoax""",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
2505c710ed7047a3,"""cLiMaTe ChAnGe iS a HoAx"" :woozy_face:",Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
acd8391af640be88,Climate change is a hoax :zany_face: /s,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
60f0ffbe07e2ed4b,5. climate change is a hoax.,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
55b78de96090bf14,cLimATe cHaNgE Is A HoAx,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
14897936ac0e7ba1,Climate change is a HOAX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
004ef45da6f6cd00,Climate change is a hoax. /s,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
a7415ac99515d13e,> 2\. Climate Change is a hoax.,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
572308a5953597d0,cLiMaTe ChAnGe Is A hOaX! ,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
2bc1fbc9553dd4c2,ClIMaTe ChaNgE iS a HoAx,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
13815d75ee619b6d,CLIMATE CHANGE IS A HOAX,Climate denial,high_confidence_weak,0.99,2.5,0.1313,0.8696006988804146,0.2101971421705633,Climate denial:\bclimate change (is a )?hoax\b,"conf=0.990, margin=0.870, kw+sem agree on Climate denial"
